London Stock Exchange	United Kingdom
Guotai Junan Securities	China
DSM	Netherlands
Bancolombia	Colombia
Rolls-Royce Holdings	United Kingdom
Hong Kong Exchanges	Hong Kong
Otsuka Holding	Japan
Stanley Black & Decker	United States
BYD	China
WestRock	United States
CarMax	United States
Aptiv	Ireland
Axis Bank	India
CenturyLink	United States
Fortive	United States
George Weston	Canada
Koç Holding	Turkey
Huaneng Power International	China
Isuzu Motors	Japan
Telkom Indonesia	Indonesia
China Energy Engineering	China
Unipol Gruppo	Italy
Teva Pharmaceutical	Israel
Keyence	Japan
Neste	Finland
Shanghai International Port	China
Nedbank	South Africa
Bangkok Bank	Thailand
China Reinsurance Group	China
Formosa Plastics	Taiwan
Telecom Italia	Italy
Concho Resources	United States
Covestro	Germany
Guangzhou R&F	China
LG	South Korea
Liberty Global	United Kingdom
Raymond James Financial	United States
Fairfax Financial	Canada
ROSSETI	Russia
China Eastern Airlines	China
Tata Motors	India
AIB Group	Ireland
Fortis (Canada)	Canada
Woodside Petroleum	Australia
China Steel	Taiwan
First Republic Bank	United States
ATOS	France
Japan Airlines	Japan
Garanti Bank	Turkey
Edison International	United States
Galp Energia	Portugal
Infineon Technologies	Germany
Athene Holding	Bermuda
Old Mutual	South Africa
AutoZone	United States
Abu Dhabi Commercial Bank	United Arab Emirates
Yanzhou Coal Mining	China
Macy's	United States
NetEase	China
Hermès International	France
Fanuc	Japan
Regeneron Pharmaceuticals	United States
Novolipetsk Steel	Russia
Hanwha	South Korea
Dentsu	Japan
Carlsberg	Denmark
Textron	United States
Bank of Jinzhou	China
SSE	United Kingdom
Huatai Securities	China
Lotte Chemical	South Korea
Hikvision	China
QBE Insurance Group	Australia
Shaanxi Coal Industry	China
Shanghai Electric Group	China
Saudi British Bank	Saudi Arabia
O'Reilly Automotive	United States
ITC	India
Chunghwa Telecom	Taiwan
Shenzhen Overseas	China
EnBW-Energie Baden	Germany
Comerica	United States
Inner Mongolia Yili	China
Genuine Parts	United States
PKO Bank Polski	Poland
PG&E	United States
Discovery	United States
Ferguson	United Kingdom
Huishang Bank	China
Sanlam	South Africa
Williams	United States
Deutsche Wohnen	Germany
S&P Global	United States
Wanhua Chemical Group	China
Fortum	Finland
Mega Financial Holding	Taiwan
JBS	Brazil
China Coal Energy	China
Emaar Properties	United Arab Emirates
Canadian Pacific Railway	Canada
Evraz Group	United Kingdom
Mitsubishi Motors	Japan
Wuliangye Yibin	China
Intuit	United States
LabCorp	United States
PTT Global Chemical	Thailand
Bank Negara Indonesia	Indonesia
